field0,response_id,language,version,summary.word_count,summary.words_per_sentence,summary.sentence_count,summary.six_plus_words,summary.emojis,summary.emoticons,summary.hashtags,summary.urls,summary.capitals,personality.extraversion,personality.active,personality.assertive,personality.cheerful,personality.energetic,personality.friendly,personality.sociable,personality.openness,personality.adventurous,personality.artistic,personality.emotionally_aware,personality.imaginative,personality.intellectual,personality.liberal,personality.conscientiousness,personality.ambitious,personality.cautious,personality.disciplined,personality.dutiful,personality.organized,personality.self_assured,personality.neuroticism,personality.aggressive,personality.anxiety_prone,personality.impulsive,personality.melancholy,personality.self_conscious,personality.stress_prone,personality.agreeableness,personality.cooperative,personality.empathetic,personality.genuine,personality.generous,personality.humble,personality.trusting,social_dynamics.social,social_dynamics.affiliation,social_dynamics.inward_focus,social_dynamics.outward_focus,social_dynamics.authentic,social_dynamics.negations,social_dynamics.clout,drives.affiliation,drives.achievement,drives.risk_seeking,drives.risk_aversion,drives.power,drives.reward,cognition.analytical_thinking,cognition.cognitive_processes,cognition.causation,cognition.certainty,cognition.comparisons,cognition.differentiation,cognition.discrepancies,cognition.insight,cognition.tentative,additional_indicators.focus_past,additional_indicators.focus_present,additional_indicators.focus_future,additional_indicators.self_focus,additional_indicators.external_focus,sallee.sentiment,sallee.goodfeel,sallee.badfeel,sallee.emotionality,sallee.non_emotion,sallee.ambifeel,sallee.admiration,sallee.amusement,sallee.excitement,sallee.gratitude,sallee.joy,sallee.love,sallee.anger,sallee.boredom,sallee.disgust,sallee.fear,sallee.sadness,sallee.calmness,sallee.curiosity,sallee.surprise
AKFUG2XFPPWWM,8cdc6bd5-a45a-4f04-95d8-5d311096a469,en,v1.0.0,95,9.5,10,0.263157895,0,0,0,0,0.012048193,38.32350186,36.31163138,23.73172075,19.32838968,70.16361391,44.1958006,38.57544091,42.6898494,22.91298079,80.7293548,37.12023773,37.8386008,26.68869396,67.10827038,34.63484164,16.56295172,18.31617193,32.10997433,47.41361564,25.65748778,63.71947306,52.47753537,60.12920599,21.92116808,64.00069761,61.25442073,28.96860104,52.07755145,56.86372289,42.34332617,82.55308153,55.30902952,48.73704065,68.84617585,53.26686537,80.28834762,98.65160228,99.24411316,0.132417446,30.57815401,0.498185398,27.81368396,98.65160228,0.059124959,2.259372672,52.21799222,0.007224312,0.035163448,0.35064049,0.052631579,0.052631579,0,0,0,0,0,0,0.052631579,0,0,0.157894737,0,-0.12,0.12,0.24,0.36,0.64,0,0,0,0,0.12,0,0,0.24,0.08,0,0,0,0,0,0
A1T7DRMZ9A9KEA,003cdf1b-e930-4d9b-96c2-d87c3870b8a7,en,v1.0.0,235,11.75,20,0.212765957,0,0,0,0,0.026595745,42.22955244,35.4385084,55.63572046,57.93434453,24.23157848,33.05811647,35.85503729,46.72973427,59.54690454,60.34230793,35.49323891,29.01729063,50.7923842,32.69768025,53.14542552,50.41553981,46.51517741,73.84520559,28.31579607,90.10535215,61.13776294,53.67310911,67.64140629,56.92533621,63.05055425,43.1707878,48.69545682,45.61003095,45.82374264,48.04760928,59.43393089,40.36702693,44.3516865,29.46758129,52.20845626,0.007925821,0.129990347,68.49708744,0.132417446,9.236370685,75.9694606,4.946054556,0.129990347,73.68630099,92.63427957,57.2250269,52.27450334,85.12820581,0.720524823,0.127659574,0.042553191,0.021276596,0.063829787,0.021276596,0.021276596,0.021276596,0,0.021276596,0.106382979,0,0.085106383,0,0.174603175,0.253968254,0.079365079,0.333333333,0.666666667,0,0,0,0,0,0,0.111111111,0.079365079,0,0,0.047619048,0,0.142857143,0,0
AEL1DK2OJ41ZZ,088b48fd-4caa-482a-865c-27ae48cf0700,en,v1.0.0,40,40,1,0.25,0,0,0,0,0.025641026,33.42078198,35.18152218,41.52442962,14.56848247,39.19302905,37.33808473,28.13764071,44.95751941,44.9833895,51.98750985,38.82149304,31.39285848,46.79655309,49.32161619,23.57408832,4.540721848,64.86669173,29.74213346,15.56486742,1.095934851,51.5734668,50.39564958,41.56259408,42.6396228,51.86934833,67.12895489,46.93094263,30.40431399,39.1494826,48.81400627,69.00646822,47.59715289,17.26213741,54.7625289,33.89562612,0.007925821,0.129990347,1.017244092,0.132417446,0.28016564,0.498185398,63.64608669,0.129990347,0.059124959,50.02069023,99.97930977,0.007224312,0.035163448,0.932585895,0.125,0.125,0,0.125,0,0,0,0,0.125,0.125,0,0,0,-0.625,0,0.625,0.625,0.375,0,0,0,0,0,0,0,0,0,0.3125,0.5625,0.25,0,0,0
A2UM2UI2KVHG64,3a39cf01-0f47-420c-84d6-ababa02ae45f,en,v1.0.0,165,5.5,30,0.181818182,0,0,0,0,0.048611111,24.58282278,21.94544517,35.23749525,19.7716802,22.94104721,21.49115897,16.16722862,43.4586675,52.08993569,66.9650152,34.00014383,34.8051025,43.21362313,22.4253004,55.07989533,66.52870705,75.68929391,85.06426831,38.00830091,74.82234566,18.94348763,56.11898997,37.56855135,69.85310834,64.3418273,54.33466245,75.48918403,61.99728343,43.39185446,39.87199253,77.26361603,55.26608061,25.46595929,52.63974205,37.37966662,0.007925821,0.129990347,74.04727369,0.132417446,98.39325885,100,0,0.129990347,0.059124959,99.99172391,49.99172391,0.007224312,100,0.015249077,0.363636364,0.090909091,0.060606061,0.060606061,0.090909091,0.03030303,0.060606061,0.03030303,0.090909091,0.151515152,0.03030303,0.090909091,0,-0.080284802,0.116130616,0.196415419,0.312546035,0.687453965,0,0.049103855,0,0.003584581,0.049103855,0,0,0,0,0,0.122759637,0.147311564,0.049103855,0,0
ADUKTDKBY4CNP,2dfd6b15-8cc7-48ac-88e5-1de8a5057d16,en,v1.0.0,80,16,5,0.25,0,0,0,0,0.014492754,28.04318689,44.49882832,19.73866288,4.355806669,49.82804128,25.8077063,30.44567276,50.8573058,33.54299169,78.95694286,38.55612258,57.11524322,36.93188187,76.07766657,20.7735573,16.56295172,48.91417338,23.10056647,8.931413115,1.095934851,36.91170926,58.3516607,44.81727582,34.55776749,68.4801705,80.27257606,50.5073008,45.55720623,33.67347316,28.67490571,71.62119124,32.01927238,17.24118611,50.58606691,25.55159448,0.007925821,0.129990347,39.97123668,0.132417446,16.78655242,100,0,0.129990347,0.059124959,2.259372672,52.21799222,0.007224312,0.035163448,0.230995671,0.25,0.0625,0,0,0.125,0,0,0.125,0.125,0.0625,0,0.0625,0,-0.44,0,0.44,0.44,0.56,0,0,0,0,0,0,0,0.04,0.4,0,0,0,0,0,0
ADW00ZRLWD3KG,e096c316-0d65-44b9-b1ce-7cfcb76bd2c4,en,v1.0.0,320,20,16,0.234375,0,0,0,0,0.026415094,35.48983275,31.00102522,48.07702142,13.05715616,50.39694512,20.69471963,35.66086346,53.10644621,55.14652149,69.24095352,36.62510832,40.42772319,52.92130674,58.49212661,32.41182311,19.47001774,34.92036311,52.85794196,16.14724515,64.02522803,44.46480247,51.59349336,43.23341041,26.85403652,64.4439536,65.60668632,54.0204124,38.14225223,40.27284734,62.06721005,69.06850165,61.34488943,18.73216856,34.78007821,31.90358327,1.061833782,31.7325124,86.61326358,13.20036415,65.3025815,96.13814755,5.450145218,31.7325124,96.53006405,2.259372672,52.21799222,23.26375248,0.035163448,0.518214286,0.125,0.03125,0,0.046875,0.03125,0.015625,0.03125,0.015625,0.078125,0.078125,0,0.109375,0.015625,-0.180722892,0.072289157,0.253012048,0.34939759,0.65060241,0.024096386,0,0,0.036144578,0,0.012048193,0,0.012048193,0,0.108433735,0,0.13253012,0.024096386,0,0
A1118RD3AJD5KH,1f0fe16d-9bb6-410d-be94-ce9503e72d2e,en,v1.0.0,12,12,1,0,0,0,0,0,0,57.45767003,43.54976846,50.70530101,66.11218144,72.03729092,67.65801379,31.71886664,28.87559844,59.72961733,22.81636068,22.47822875,27.94539054,20.57894642,37.07560397,52.02011809,49.59325594,15.59520675,55.04302912,55.38381263,1.095934851,98.42118433,27.28246719,29.09157174,22.50059565,69.64141047,24.524025,11.08058014,10.70214784,69.27152308,66.42928263,54.07808036,80.03523093,69.3656198,62.38819024,85.82182013,0.007925821,0.129990347,1.017244092,0.132417446,0.28016564,0.498185398,63.64608669,0.129990347,100,52.23868245,2.238682446,0.007224312,100,0.932585895,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.833333333,0.833333333,0,0.833333333,0.166666667,0,0.833333333,0,0,0.5,0,0.333333333,0,0,0,0,0,0,0,0
AX0ZEGHH0H525,0b2f1954-73d8-49fc-8436-af2de779c48c,en,v1.0.0,235,9.4,25,0.276595745,0,0,0,0,0.022222222,29.08345665,36.74063681,34.07270526,9.496899673,38.91947842,32.23866764,18.63307247,49.50024783,45.80678969,49.4584632,24.09417074,40.23475202,66.13212707,39.86509334,59.66327945,82.59969306,46.23950404,82.25251024,24.42457954,97.7866333,40.40352884,49.54391014,37.84599425,33.28849206,44.6056067,78.13328298,41.29710025,20.46789561,37.00418518,43.90299964,63.7011398,23.06810658,26.80282812,36.56073239,41.16154786,0.007925821,0.129990347,41.32902163,0.132417446,32.43178586,0.498185398,14.70998107,0.129990347,0.059124959,52.20144004,2.275924853,52.27450334,99.92395916,0.932585895,0.170212766,0.042553191,0.042553191,0.042553191,0.021276596,0,0.021276596,0.042553191,0.085106383,0.042553191,0.021276596,0.063829787,0,-0.112506729,0.048986183,0.161492912,0.210479096,0.789520904,0,0,0,0,0,0,0.017943657,0,0,0,0,0.161492912,0.031042526,0,0
A1L0QECT7J93ZP,09a470bf-6ef2-4e45-9aca-a9907755fb67,en,v1.0.0,255,7.285714286,35,0.196078431,0,0,0,0,0.034042553,53.22233609,54.72467437,53.09009032,58.923743,49.21132833,57.57740422,44.56506597,43.39010499,58.46419945,66.37962787,53.56050269,41.96994681,23.59521119,45.71636005,71.02597095,83.0141192,43.98502045,71.40508037,57.33129551,67.94648624,85.06609121,38.97692486,41.12848401,35.84551195,73.00311929,38.57267293,25.19164254,18.71057731,66.20280298,62.41247972,84.65749605,49.84672769,65.47678447,48.84018422,81.49333664,2.93980043,0.129990347,60.32004315,0.132417446,21.2286351,0.498185398,35.55921255,0.129990347,99.07562221,52.1890259,2.288338989,0.007224312,99.89861248,0.593169748,0.058823529,0.019607843,0.039215686,0.019607843,0,0,0,0,0.019607843,0.117647059,0.019607843,0.078431373,0,0.365935919,0.365935919,0,0.406408094,0.593591906,0.040472175,0.284991568,0,0,0.040472175,0,0.02698145,0,0,0,0,0,0.080944351,0,0
A1VN560NNZQIR0,f915bd26-71df-474b-a626-6f3326e27775,en,v1.0.0,105,7,15,0.333333333,0,0,0,0,0.028846154,55.59569173,44.01044103,68.63815115,55.01831438,59.13630175,51.7040907,33.50307999,57.6505655,59.72961733,57.54274365,38.82144922,30.83369641,76.59843475,46.15887903,56.06318587,74.37401961,32.86075136,56.70465894,43.91767063,34.80832556,65.41737744,44.05766503,41.88596842,40.96384752,84.91216971,38.58700636,39.16112651,32.8060492,50.09568369,55.59786081,68.12395954,4.14921167,52.12868671,37.87320571,72.27985145,6.620799234,0.129990347,1.017244092,0.132417446,2.938606485,0.498185398,88.2312726,0.129990347,96.85765341,52.23868245,2.238682446,98.39659337,100,0.876182146,0.285714286,0.142857143,0.047619048,0.047619048,0,0,0.047619048,0.047619048,0,0.238095238,0,0,0,0.344722677,0.344722677,0,0.625555816,0.374444184,0.280833138,0.344722677,0,0,0.046805523,0,0,0,0,0,0,0,0,0,0.234027615
AV19Z8ZCIQM4G,2a9fb087-0bca-4a82-83eb-cbb6ca472bc0,en,v1.0.0,25,25,1,0.2,0,0,0,0,0.052631579,43.04656174,43.54976846,23.76420404,51.6726906,49.82711202,58.89693835,42.85132582,33.54598018,59.72961733,46.57385669,6.400771692,16.32820257,32.47505738,36.57904061,47.2274244,48.91048132,48.91695953,43.54565058,42.09438485,1.095934851,77.61839268,26.92055362,7.646111047,36.43986564,49.20265905,28.07366873,31.34719346,31.37845003,52.9406328,52.73931454,40.29797539,39.54180832,51.84763456,62.46134819,74.57216417,0.007925821,0.129990347,1.017244092,0.132417446,23.54508853,0.498185398,0.06584084,0.129990347,0.059124959,52.23868245,2.238682446,0.007224312,100,0.527142857,0.4,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0.173553719,0.173553719,0,0.173553719,0.826446281,0,0.173553719,0,0,0.173553719,0,0,0,0,0,0,0,0,0,0
A39IK7T2K2V2KA,48c1956c-16e0-419e-9340-2ac1507dba18,en,v1.0.0,230,15.33333333,15,0.217391304,0,0,0,0,0.021276596,42.82948644,48.60542979,27.61382093,84.24243069,24.59492534,39.22173885,42.3083102,39.25111386,45.97636942,45.65347045,11.78131008,15.40591406,45.41996271,56.10345584,38.04656149,41.53172109,45.14781976,55.47025177,10.46965778,41.75757956,51.84206312,46.56866573,28.39917413,69.26782437,84.12113952,27.21871085,70.91099255,60.79202408,41.87204131,37.57050374,47.95572988,35.83222512,36.33931218,44.49975425,57.34830925,0.007925821,0.129990347,94.45179051,0.132417446,93.64768957,77.65932966,0,0.129990347,0.059124959,2.259372672,52.21799222,54.76256378,0.035163448,0.16148913,0.152173913,0,0.02173913,0.065217391,0.086956522,0,0,0.043478261,0.02173913,0.152173913,0,0.130434783,0,0.168103448,0.213362069,0.045258621,0.25862069,0.74137931,0,0,0,0,0,0.19612069,0,0,0,0,0.045258621,0,0.017241379,0,0
AYY463Q7V3LTU,a9882b35-acc6-442e-94ce-45054f9fa4e3,en,v1.0.0,90,18,5,0.444444444,0,0,0,0,0.010416667,44.19024644,53.14576227,47.57841269,55.03859176,28.62631144,48.44961375,32.97979547,62.62382552,59.72961733,86.04262596,38.81734656,33.05125772,76.94117223,45.68941313,58.01859067,62.01364615,32.01739605,56.0404817,45.7869519,63.78890325,79.29264448,41.44502755,29.16733201,43.47693209,69.78282639,38.56571013,53.30158134,35.59744712,53.57502129,48.24884009,69.02064756,40.75761965,53.01615853,46.54772845,60.45366484,0.007925821,0.129990347,32.14263567,0.132417446,98.39325885,0.498185398,0.865856154,0.129990347,0.059124959,52.23868245,2.238682446,99.37034604,100,0.620352734,0.222222222,0,0,0.055555556,0.111111111,0,0.055555556,0.055555556,0,0.111111111,0,0.055555556,0,0.561643836,0.561643836,0,0.616438356,0.383561644,0.054794521,0.116438356,0,0,0.089041096,0,0,0,0,0,0,0,0.445205479,0,0
